Name,Account,App Name,City,State,Country,Region,Subdomain,DB,Version,Group,Feeder,Created,Status,Category,Primary Clusters
kipu-11671,Graceland Recovery,11671,,TN,US,us-east-1,gr11671,kipuaws-rds-kipu-11671,10.2.3.6.aws,SMB,0000s,2/12/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11666,Jewell City Treatment Center,11666,,CA,US,us-east-1,jctc11666,kipuaws-rds-kipu-11666,10.2.3.6.aws,SMB,11477,2/3/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11663,Joser Forever,11663,Los Angeles,CA,US,us-east-1,jf11663,kipuaws-rds-kipu-11663,10.2.3.6.aws,SMB,0000s,2/1/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11655,Foundations Group Recovery Centers,11655,Mashpee,MA,US,us-east-1,fgrc11655,kipuaws-rds-kipu-11655,10.2.3.6.aws,SMB,0000s,1/25/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11648,Virtues Behavioral Health,11648,Los Angeles,CA,US,us-east-1,vbh11648,kipuaws-rds-kipu-11648,10.2.3.6.aws,SMB,0000s,1/7/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11640,Clearhaven Recovery Center,11640,Waltham,MA,US,us-east-1,crc11640,kipuaws-rds-kipu-11640,10.2.3.6.aws,SMB,0000s,1/4/21,Active,Healthmatters,healthmatterscluster14-107
kipu-11636,Covington Springs,11636,Fort Wayne,IN,US,us-east-1,cs11636,kipuaws-rds-kipu-11636,10.2.3.6.aws,SMB,0000s,12/28/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11635,Amatus Group Sandbox,11635,,OH,US,us-east-1,t-11635,kipuaws-rds-kipu-11635,10.2.3.6.aws,SMB,0000s,12/28/20,Active,Sandbox,healthmatterscluster14-105
kipu-11632,Recovery Zone,11632,Los Angeles,CA,US,us-east-1,rz11632,kipuaws-rds-kipu-11632,10.2.3.6.aws,SMB,0000s,12/18/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11629,Jaywalker Lodge,11629,Carbondale,CO,US,us-east-1,jl11629,kipuaws-rds-kipu-11629,10.2.3.6.aws,SMB,0000s,12/8/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11623,Ocean State Behavioral Health,11623,Johnston,RI,US,us-east-1,osbh11623,kipuaws-rds-kipu-11623,10.2.2.8.aws,SMB,0000s,11/30/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11622,First Step Recovery,11622,,CA,US,us-east-1,fsr11622,kipuaws-rds-kipu-11622,10.2.3.6.aws,SMB,0000s,11/25/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11621,Beyond Recovery,11621,,FL,US,us-east-1,br11621,kipuaws-rds-kipu-11621,10.2.3.6.aws,SMB,0000s,11/24/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11619,Enhance Health Group,11619,Anaheim,CA,US,us-east-1,ehg11619,kipuaws-rds-kipu-11619,10.2.3.6.aws,SMB,0000s,11/19/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11618,Centro Terapeutico Equilibrium (Equilibrium Treatment Center),11618,Coral Gables,FL,US,us-east-1,cte11618,kipuaws-rds-kipu-11618,10.2.3.6.aws,SMB,0000s,11/18/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11616,The Way Home Treatment,11616,Wilton Manors,FL,US,us-east-1,twht11616,kipuaws-rds-kipu-11616,10.2.3.6.aws,SMB,0000s,11/18/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11614,Zen Recovery,11614,,CA,US,us-east-1,zr11614,kipuaws-rds-kipu-11614,10.2.3.6.aws,SMB,11477,11/18/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11612,Cedar Oaks Wellness,11612,Oregonia,OH,US,us-east-1,cow11612,kipuaws-rds-kipu-11612,10.2.3.6.aws,SMB,0000s,11/13/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11613,Centered Recovery Program,11613,,GA,US,us-east-1,crp11613,kipuaws-rds-kipu-11613,10.2.3.6.aws,SMB,0000s,11/13/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11610,California Care Recovery,11610,San Juan Capistrano,CA,US,us-east-1,ccr11610,kipuaws-rds-kipu-11610,10.2.3.6.aws,SMB,0000s,11/12/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11602,Quantum Behavioral Health Services,11602,,NJ,US,us-east-1,qbhs11602,kipuaws-rds-kipu-11602,10.2.3.6.aws,SMB,0000s,10/23/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11600,Olympia House,11600,Petaluma,CA,US,us-east-1,oh11600,kipuaws-rds-kipu-11600,10.2.3.6.aws,SMB,0000s,10/21/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11599,Ocean County College,11599,Toms River,NJ,US,us-east-1,occ11599,kipuaws-rds-kipu-11599,10.2.3.6.aws,SMB,0000s,10/21/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11598,Discovery Counseling & Wellness Center,11598,Boyton Beach,FL,US,us-east-1,dcwc11598,kipuaws-rds-kipu-11598,10.2.3.6.aws,SMB,0000s,10/19/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11597,Lead Recovery,11597,,CA,US,us-east-1,lr11597,kipuaws-rds-kipu-11597,10.2.3.6.aws,SMB,0000s,10/12/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11596,Findlay Recovery Center,11596,,OH,US,us-east-1,frc11596,kipuaws-rds-kipu-11596,10.2.3.6.aws,SMB,0000s,10/12/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11584,Greater Boston Addiction Center,11584,,MA,US,us-east-1,gbac11584,kipuaws-rds-kipu-11584,10.2.3.6.aws,SMB,0000s,9/29/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11583,Arizona Center for Recovery,11583,,AZ,US,us-east-1,acr11583,kipuaws-rds-kipu-11583,10.2.3.6.aws,SMB,0000s,9/28/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11580,Aftermath Addiction Treatment,11580,,MA,US,us-east-1,aat11580,kipuaws-rds-kipu-11580,10.2.3.6.aws,SMB,0000s,9/23/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11582,Mental Health Center of San Diego,11582,,CA,US,us-east-1,mhsd11582,kipuaws-rds-kipu-11582,10.2.3.6.aws,SMB,0000s,9/23/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11581,Graniteville House of Recovery,,,,,us-east-1,ghr11581,kipuaws-rds-kipu-11581,10.2.3.6.aws,SMB,,9/23/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11579,Better Days,11579,,CA,US,us-east-1,bd11579,kipuaws-rds-kipu-11579,10.2.3.6.aws,SMB,0000s,9/23/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11572,First City Recovery,11572,,IN,US,us-east-1,fcr11572,kipuaws-rds-kipu-11572,10.2.3.6.aws,SMB,0000s,9/17/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11564,White House Recovery and Detox,11564,,CA,US,us-east-1,whrd11564,kipuaws-rds-kipu-11564,10.2.3.6.aws,SMB,11477,9/9/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11563,JC Recovery,11563,,FL,US,us-east-1,jcr11563,kipuaws-rds-kipu-11563,10.2.3.6.aws,SMB,0000s,9/9/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11557,Simple Path Recovery,11557,,FL,US,us-east-1,spr11557,kipuaws-rds-kipu-11557,10.2.3.6.aws,SMB,0000s,9/3/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11560,Chateau Recovery,11560,,UT,US,us-east-1,ctry11560,kipuaws-rds-kipu-11560,10.2.3.6.aws,SMB,0000s,9/3/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11556,A KA Center,11556,,CA,US,us-east-1,akac11556,kipuaws-rds-kipu-11556,10.2.3.6.aws,SMB,0000s,9/3/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11554,"Scottsdale Detox, AZ",,,,,us-east-1,sdetox11554,kipuaws-rds-kipu-11554,10.2.3.6.aws,SMB,,8/29/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11548,Divinity Recovery,,,,,us-east-1,dry11548,kipuaws-rds-kipu-11548,10.2.3.6.aws,SMB,,8/24/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11540,Recovery Bay Center,11540,,FL,US,us-east-1,rbc11540,kipuaws-rds-kipu-11540,10.2.3.6.aws,SMB,0000s,8/17/20,Active,Healthmatters,healthmatterscluster14-107
kipu-11536,Sunshine Behavioral Health - Clone,11536,,FL,US,us-east-1,t-11536,kipuaws-rds-kipu-11536,10.2.3.6.aws,SMB,0000s,8/11/20,Active,Sandbox,healthmatterscluster14-TEST
kipu-11531,Changes Rehabilitation LLC,11531,,KY,US,us-east-1,crb11531,kipuaws-rds-kipu-11531,10.2.3.6.aws,SMB,0000s,7/24/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11525,Baystate Recovery Center,11525,,MA,US,us-east-1,brc11525,kipuaws-rds-kipu-11525,10.2.3.6.aws,SMB,0000s,7/15/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11526,The Journey Home,11526,,LA,US,us-east-1,tjh11526,kipuaws-rds-kipu-11526,10.2.3.6.aws,SMB,0000s,7/15/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11522,Chattanooga Recovery Center,11522,,TN,US,us-east-1,crc11522,kipuaws-rds-kipu-11522,10.2.3.6.aws,SMB,0000s,7/14/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11523,The Extension,11523,,GA,US,us-east-1,tex11523,kipuaws-rds-kipu-11523,10.2.3.6.aws,SMB,0000s,7/14/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11524,Oak Forest Recovery Center,11524,,CA,US,us-east-1,ofrc11524,kipuaws-rds-kipu-11524,10.2.3.6.aws,SMB,0000s,7/14/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11519,Topsail Addiction Treatment,11519,,MA,US,us-east-1,tsat11519,kipuaws-rds-kipu-11519,10.2.3.6.aws,SMB,0000s,7/9/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11515,Northstar Detox & Rehab Center LLC,,,,,us-east-1,nsd11515,kipuaws-rds-kipu-11515,10.2.3.6.aws,SMB,,7/6/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11513,Psyclarity Health Inc.,,,,,us-east-1,pch11513,kipuaws-rds-kipu-11513,10.2.3.6.aws,SMB,,6/29/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11510,Momentum IOP,,,,,us-east-1,miop11510,kipuaws-rds-kipu-11510,10.2.3.6.aws,SMB,,6/22/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11509,"Institute For Substance Use Disorders, LLC",,,,,us-east-1,srr11509,kipuaws-rds-kipu-11509,10.2.3.6.aws,SMB,,6/22/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11508,Hope Street,,,,,us-east-1,hst11508,kipuaws-rds-kipu-11508,10.2.3.6.aws,SMB,,6/22/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11506,Celebrated Consulting LLC,Celebrated Consulting LLC,,CA,,us-east-1,ccl11506,kipuaws-rds-kipu-11506,10.2.3.6.aws,SMB,,6/19/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11503,NuView Treatment,11503,,CA,US,us-east-1,nvt11503,kipuaws-rds-kipu-11503,10.2.3.6.aws,SMB,0000s,6/17/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11505,"Saving My Tomorrow, Inc",,,,,us-east-1,smt11505,kipuaws-rds-kipu-11505,10.2.3.6.aws,SMB,,6/17/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11501,Catalyst Recovery,11501,,CA,US,us-east-1,cry11501,kipuaws-rds-kipu-11501,10.2.3.6.aws,SMB,0000s,6/13/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11500,Key Transitions,11500,,CA,US,us-east-1,key,kipuaws-rds-kipu-11500,10.2.3.6.aws,SMB,0000a,6/11/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11499,Rebel New Life Treatment Center,11499,,CA,US,us-east-1,rnl11499,kipuaws-rds-kipu-11499,10.2.3.6.aws,SMB,0000a,6/11/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11492,Building & Embracing Sobriety Together (B.E.S.T.),11492,,PA,US,us-east-1,best11492,kipuaws-rds-kipu-11492,10.2.3.6.aws,SMB,0000s,5/26/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11487,Anderson Health Services,11487,,NC,US,us-east-1,ahs11487,kipuaws-rds-kipu-11487,10.2.3.6.aws,SMB,0000s,5/15/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11486,Conquer Recovery Centers,11486,,CA,US,us-east-1,crc11486,kipuaws-rds-kipu-11486,10.2.3.6.aws,SMB,0000s,5/12/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11483,Heartwood House,11483,,CA,US,us-east-1,hwh11483,kipuaws-rds-kipu-11483,10.2.3.6.aws,SMB,0000s,5/6/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11481,Harvey House Manor II,11481,,CA,US,us-east-1,hhm11481,kipuaws-rds-kipu-11481,10.2.3.6.aws,SMB,0000s,5/6/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11482,Wish Recovery,,,,,us-east-1,wrh11482,kipuaws-rds-kipu-11482,10.2.3.6.aws,SMB,,5/6/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11480,Synergy Sobriety Solutions,11480,,FL,US,us-east-1,ssb11480,kipuaws-rds-kipu-11480,10.2.3.6.aws,SMB,0000s,5/5/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11478,Pacific Teen Treatment,11478,,CA,US,us-east-1,ptt11478,kipuaws-rds-kipu-11478,10.2.3.6.aws,SMB,0000s,5/2/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11476,HomeSafe,11476,,FL,US,us-east-1,hsf11476,kipuaws-rds-kipu-11476,10.2.3.6.aws,SMB,0000s,4/29/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11472,Healthy Life Recovery,11472,,CA,US,us-east-1,hlr11472,kipuaws-rds-kipu-11472,10.2.3.6.aws,SMB,0000s,4/24/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11469,Backcountry Wellness,11469,,CT,US,us-east-1,bcw11469,kipuaws-rds-kipu-11469,10.2.3.6.aws,SMB,0000s,4/17/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11466,Gloria Detox and Rehab,11466,,CA,US,us-east-1,gdar11466,kipuaws-rds-kipu-11466,10.2.3.6.aws,SMB,0000t,4/14/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11464,Summers Dawn Treatment Center,11464,,AZ,US,us-east-1,sdtc11464,kipuaws-rds-kipu-11464,10.2.3.6.aws,SMB,,4/10/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11463,Arc Centers T4,11463,,KY,US,us-east-1,arcsandbox,kipuaws-rds-kipu-11463,10.2.3.6.aws,SMB,0000s,4/9/20,Active,Clone,healthmatterscluster14-TEST
kipu-11459,Hathaway Recovery,11459,,CA,US,us-east-1,hry11459,kipuaws-rds-kipu-11459,10.2.3.6.aws,SMB,0000s,4/2/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11451,Second Chance Recovery Center,,,,,us-east-1,scr11451,kipuaws-rds-kipu-11451,10.2.3.6.aws,SMB,,3/21/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11448,Sobriety Now,11448,,PA,US,us-east-1,sbt11448,kipuaws-rds-kipu-11448,10.2.3.6.aws,SMB,0000s,3/20/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11449,Bridging the Hope Counseling,11449,,AZ,US,us-east-1,bth11449,kipuaws-rds-kipu-11449,10.2.3.6.aws,SMB,0000s,3/20/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11450,Detox Centers of America,11450,,FL,US,us-east-1,dca11450,kipuaws-rds-kipu-11450,10.2.3.6.aws,SMB,0000s,3/20/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11446,Red Door Life,11446,,CA,US,us-east-1,rdl11446,kipuaws-rds-kipu-11446,10.2.3.6.aws,SMB,0000s,3/10/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11444,White Oak Recovery,11444,,CA,US,us-east-1,wor11444,kipuaws-rds-kipu-11444,10.2.3.6.aws,SMB,0000s,3/6/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11442,Triumph Healthcare,11442,,CA,US,us-east-1,thl11442,kipuaws-rds-kipu-11442,10.2.3.6.aws,SMB,0000s,3/4/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11436,Hillside Mission,11436,,CA,US,us-east-1,hms11436,kipuaws-rds-kipu-11436,10.2.3.6.aws,SMB,0000s,2/27/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11431,Enlight Treatment Center,11431,,CA,US,us-east-1,etc11431,kipuaws-rds-kipu-11431,10.2.3.6.aws,SMB,0000s,2/19/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11406,New Day Rehab Center,,,,,us-east-1,ndr11406,kipuaws-rds-kipu-11406,10.2.3.6.aws,SMB,,2/6/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11400,True Self Recovery,11400,,AR,US,us-east-1,tsr11400,kipuaws-rds-kipu-11400,10.2.3.6.aws,SMB,0000s,1/28/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11399,New Leaf Detox,11399,,CA,US,us-east-1,nld11399,kipuaws-rds-kipu-11399,10.2.3.6.aws,SMB,0000s,1/27/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11394,Stairway Resource Center,,,CA,,us-east-1,src11394,kipuaws-rds-kipu-11394,10.2.3.6.aws,SMB,,1/16/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11396,Mindful Recovery,,,CA,,us-east-1,mry11396,kipuaws-rds-kipu-11396,10.2.3.6.aws,SMB,,1/16/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11395,Casefiles,casefiles,,,,us-east-1,casefiles,kipuaws-rds-kipu-10619-casefiles,10.2.3.6.aws,SMB,,1/16/20,Active,Testing,healthmatterscluster14-TEST
kipu-11388,Taj Treatment Center,11388,,CA,US,us-east-1,ttc11388,kipuaws-rds-kipu-11388,10.2.3.6.aws,SMB,0000s,1/7/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11387,Turning Winds,11387,,MT,US,us-east-1,twd11387,kipuaws-rds-kipu-11387,10.2.3.6.aws,SMB,0000s,1/7/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11386,Reinvent Life Treatment Center,11386,,IL,US,us-east-1,ril11386,kipuaws-rds-kipu-11386,10.2.3.6.aws,SMB,0000s,1/3/20,Active,Healthmatters,healthmatterscluster14-106
kipu-11378,Luminous Care,,,FL,,us-east-1,lmc11378,kipuaws-rds-kipu-11378,10.2.3.6.aws,SMB,,12/13/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11377,Clearfork Academy LP,11377,,TX,US,us-east-1,cay11377,kipuaws-rds-kipu-11377,10.2.3.6.aws,SMB,0000s,12/12/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11375,Viewpoint Dual Recovery,,,AZ,,us-east-1,vdr11375,kipuaws-rds-kipu-11375,10.2.3.6.aws,SMB,,12/5/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11374,Canyon View Treatment Center,11374,,CA,US,us-east-1,cvt11374,kipuaws-rds-kipu-11374,10.2.3.6.aws,SMB,0000a,12/4/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11373,Aurora Health,11373,,FL,US,us-east-1,arh11373,kipuaws-rds-kipu-11373,10.2.3.6.aws,SMB,0000s,12/4/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11371,Wellness Retreat Recovery Center,,,CA,,us-east-1,wrr11371,kipuaws-rds-kipu-11371,10.2.3.6.aws,SMB,,11/27/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11366,Rehab Healing Centers,11366,,CA,US,us-east-1,rhc11366,kipuaws-rds-kipu-11366,10.2.3.6.aws,SMB,0000s,11/18/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11364,Right Turn,11364,,MA,US,us-east-1,rtn11364,kipuaws-rds-kipu-11364,10.2.3.6.aws,SMB,0000s,11/11/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11362,"Monte Nido Sandbox, FL - Sandbox",11362,,,,us-east-1,t-11362,kipuaws-rds-kipu-11362,10.2.3.6.aws,SMB,,11/5/19,Active,Clone,healthmatterscluster14-TEST
kipu-11359,Milestone Recovery,11359,,ME,US,us-east-1,msr11359,kipuaws-rds-kipu-11359,10.2.3.6.aws,SMB,0000s,10/30/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11358,American Addiction Treatment Center,11358,,CA,US,us-east-1,aat11358,kipuaws-rds-kipu-11358,10.2.3.6.aws,SMB,0000a,10/27/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11357,Pendulum Detox,11357,,,,us-east-1,pdx11357,kipuaws-rds-kipu-11357,10.2.3.6.aws,SMB,,10/24/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11356,Together Time,11356,Tempe,AZ,US,us-east-1,ttm11356,kipuaws-rds-kipu-11356,10.2.3.6.aws,SMB,0000S,10/16/19,Active,Healthmatters,healthmatterscluster14-106
kipu-11355,Channel Islands Rehab,11355,Los Angeles,CA,USA,us-east-1,cir11355,kipuaws-rds-kipu-11355,10.2.3.6.aws,SMB,0000s,10/16/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11354,Spokane Falls Recovery Center,11354,,WA,US,us-east-1,sfr11354,kipuaws-rds-kipu-11354,10.2.3.6.aws,SMB,0000S,10/14/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11353,Los Angeles Recovery,11353,,FL,US,us-east-1,lar11353,kipuaws-rds-kipu-11353,10.2.3.6.aws,SMB,0000S,10/9/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11350,Eagle Overlook Recovery,11350,,GA,US,us-east-1,eor11350,kipuaws-rds-kipu-11350,10.2.3.6.aws,SMB,0000S,10/7/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11342,The Process Treatment Center,11342,,FL,US,us-east-1,ptc11342,kipuaws-rds-kipu-11342,10.2.3.6.aws,SMB,0000S,9/24/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11341,Starbridge,11341,,CA,US,us-east-1,stb11341,kipuaws-rds-kipu-11341,10.2.3.6.aws,SMB,0000S,9/13/19,Active,Healthmatters,healthmatterscluster14-105
kipu-11338,Prosperity Haven,11338,,OH,US,us-east-1,phv11338,kipuaws-rds-kipu-11338,10.2.3.6.aws,SMB,0000a,9/12/19,Active,Healthmatters,healthmatterscluster14-105
